tanggal,jam,uniqueId,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-04-28,06:28:15,sn2791ka,0,Good..,Good,good,good,['good'],['good'],good
2025-04-27,04:32:53,escargot02,0,Kang Deni the next Presiden🥰🥰🥰👍👍🙏🙏🙏,Kang Deni the next Presiden,kang deni the next presiden,kang deni the next presiden,"['kang', 'deni', 'the', 'next', 'presiden']","['kang', 'deni', 'the', 'next', 'presiden']",kang den the next presiden
2025-04-27,05:26:12,tony62785,8,kdm is the best,kdm is the best,kdm is the best,kdm is the best,"['kdm', 'is', 'the', 'best']","['kdm', 'is', 'the', 'best']",kdm is the best
2025-04-27,15:59:02,yu.minji5,3754,pasti kalinya berasa lega bgt😭,pasti kalinya berasa lega bgt,pasti kalinya berasa lega bgt,pasti kalinya berasa lega banget,"['pasti', 'kalinya', 'berasa', 'lega', 'banget']","['kalinya', 'berasa', 'lega', 'banget']",kali asa lega banget
2025-04-24,08:19:39,zoro15868,14543,"orang puluhan tahun ngumpul duit buat beli tanah,terus mereka seenaknya bngun rumah tanpa bayar,dan gak dikenakan denda,setelah digusur seakan akan paling terzolimi🤣🤣",orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bngun rumah tanpa bayardan gak dikenakan dendasetelah digusur seakan akan paling terzolimi,orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bngun rumah tanpa bayardan gak dikenakan dendasetelah digusur seakan akan paling terzolimi,orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bangun rumah tanpa bayardan tidak dikenakan dendasetelah digusur seakan akan paling terzolimi,"['orang', 'puluhan', 'tahun', 'ngumpul', 'duit', 'buat', 'beli', 'tanahterus', 'mereka', 'seenaknya', 'bangun', 'rumah', 'tanpa', 'bayardan', 'tidak', 'dikenakan', 'dendasetelah', 'digusur', 'seakan', 'akan', 'paling', 'terzolimi']","['orang', 'puluhan', 'ngumpul', 'duit', 'beli', 'tanahterus', 'bangun', 'rumah', 'bayardan', 'dikenakan', 'dendasetelah', 'digusur', 'seakan', 'terzolimi']",orang puluh ngumpul duit beli tanahterus bangun rumah bayardan kena dendasetelah gusur akan terzolimi
2025-03-26,04:44:05,aden12927,5219,ini lah hasil kerja nyata bukan omon omon..,ini lah hasil kerja nyata bukan omon omon,ini lah hasil kerja nyata bukan omon omon,ini lah hasil kerja nyata bukan omon omon,"['ini', 'lah', 'hasil', 'kerja', 'nyata', 'bukan', 'omon', 'omon']","['hasil', 'kerja', 'nyata', 'omon', 'omon']",hasil kerja nyata omon omon
2025-04-29,06:02:09,cheelllyourfav,455,bayangin pejabat se-Indonesia kerjanya berfungsi kek gini semua,bayangin pejabat seIndonesia kerjanya berfungsi kek gini semua,bayangin pejabat seindonesia kerjanya berfungsi kek gini semua,bayangkan pejabat seindonesia kerjanya berfungsi kayak begini semua,"['bayangkan', 'pejabat', 'seindonesia', 'kerjanya', 'berfungsi', 'kayak', 'begini', 'semua']","['bayangkan', 'pejabat', 'seindonesia', 'kerjanya', 'berfungsi', 'kayak']",bayang jabat indonesia kerja fungsi kayak
2025-03-26,11:54:52,drakipr,14491,segampang itu ya klo pemimpinnya bener,segampang itu ya klo pemimpinnya bener,segampang itu ya klo pemimpinnya bener,segampang itu ya kalau pemimpinnya benar,"['segampang', 'itu', 'ya', 'kalau', 'pemimpinnya', 'benar']","['segampang', 'ya', 'pemimpinnya']",gampang ya pimpin
2025-04-26,08:58:53,hiburantiktok.3,1418,kalo banjir bilang pemerintahnya g becus. giliran ketemu yg becus kerjanya malah d bilang g bela rakyat. dr semua gubernur kyajnya KDM yg keliatan kerjanya.,kalo banjir bilang pemerintahnya g becus giliran ketemu yg becus kerjanya malah d bilang g bela rakyat dr semua gubernur kyajnya KDM yg keliatan kerjanya,kalo banjir bilang pemerintahnya g becus giliran ketemu yg becus kerjanya malah d bilang g bela rakyat dr semua gubernur kyajnya kdm yg keliatan kerjanya,kalau banjir bilang pemerintahnya tidak becus giliran ketemu yang becus kerjanya malah di bilang tidak bela rakyat dari semua gubernur kyajnya kdm yang kelihatan kerjanya,"['kalau', 'banjir', 'bilang', 'pemerintahnya', 'tidak', 'becus', 'giliran', 'ketemu', 'yang', 'becus', 'kerjanya', 'malah', 'di', 'bilang', 'tidak', 'bela', 'rakyat', 'dari', 'semua', 'gubernur', 'kyajnya', 'kdm', 'yang', 'kelihatan', 'kerjanya']","['banjir', 'bilang', 'pemerintahnya', 'becus', 'giliran', 'ketemu', 'becus', 'kerjanya', 'bilang', 'bela', 'rakyat', 'gubernur', 'kyajnya', 'kdm', 'kerjanya']",banjir bilang perintah becus gilir ketemu becus kerja bilang bela rakyat gubernur kyajnya kdm kerja
2025-04-27,12:34:14,nunahanuna,1453,"bukan gak empati tapi orang laen mati2an kerja cari duit buat ngontrak buat nabung beli rumah, yang ini bangun seenaknya",bukan gak empati tapi orang laen matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,bukan gak empati tapi orang laen matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,bukan tidak empati tapi orang lain matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,"['bukan', 'tidak', 'empati', 'tapi', 'orang', 'lain', 'matian', 'kerja', 'cari', 'duit', 'buat', 'ngontrak', 'buat', 'nabung', 'beli', 'rumah', 'yang', 'ini', 'bangun', 'seenaknya']","['empati', 'orang', 'matian', 'kerja', 'cari', 'duit', 'ngontrak', 'nabung', 'beli', 'rumah', 'bangun']",empati orang mati kerja cari duit ngontrak nabung beli rumah bangun
2025-04-25,03:11:34,san.death4,13,terlihat sadis tapi jika flashback 'itu bangunan liar',terlihat sadis tapi jika flashback itu bangunan liar,terlihat sadis tapi jika flashback itu bangunan liar,terlihat sadis tapi jika flashback itu bangunan liar,"['terlihat', 'sadis', 'tapi', 'jika', 'flashback', 'itu', 'bangunan', 'liar']","['sadis', 'flashback', 'bangunan', 'liar']",sadis flashback bangun liar
2025-04-24,09:20:07,sleepcalll__,3663,"bermula jualan asongan, jual pinggir jalan, buat stand kecil, buat kios kecil, buat kios agak gede , buat warung semi permanen, buat rumah😂🤣",bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede  buat warung semi permanen buat rumah,bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede  buat warung semi permanen buat rumah,bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede buat warung semi permanen buat rumah,"['bermula', 'jualan', 'asongan', 'jual', 'pinggir', 'jalan', 'buat', 'stand', 'kecil', 'buat', 'kios', 'kecil', 'buat', 'kios', 'agak', 'gede', 'buat', 'warung', 'semi', 'permanen', 'buat', 'rumah']","['jualan', 'asongan', 'jual', 'pinggir', 'jalan', 'stand', 'kios', 'kios', 'gede', 'warung', 'semi', 'permanen', 'rumah']",jual asong jual pinggir jalan stand kios kios gede warung semi permanen rumah
2025-03-26,06:08:15,srisuwartimulyo,580,manyala KDM . janji ya jadi RI 1 2029.💕💕,manyala KDM  janji ya jadi RI  ,manyala kdm  janji ya jadi ri  ,manyala kdm janji ya jadi ri,"['manyala', 'kdm', 'janji', 'ya', 'jadi', 'ri']","['manyala', 'kdm', 'janji', 'ya', 'ri']",manyala kdm janji ya ri
2025-04-20,10:33:28,bungaprimadona6,7,"kasian yg terdampak banjir malah ribuan orang, gara2 bangunan liar yg tidak betul",kasian yg terdampak banjir malah ribuan orang gara bangunan liar yg tidak betul,kasian yg terdampak banjir malah ribuan orang gara bangunan liar yg tidak betul,kasihan yang terdampak banjir malah ribuan orang gara bangunan liar yang tidak betul,"['kasihan', 'yang', 'terdampak', 'banjir', 'malah', 'ribuan', 'orang', 'gara', 'bangunan', 'liar', 'yang', 'tidak', 'betul']","['kasihan', 'terdampak', 'banjir', 'ribuan', 'orang', 'gara', 'bangunan', 'liar']",kasihan dampak banjir ribu orang gara bangun liar
2025-04-27,04:25:36,rafoyt,332,bangun rmh disitu eh buang sampahnya di sungai🤪,bangun rmh disitu eh buang sampahnya di sungai,bangun rmh disitu eh buang sampahnya di sungai,bangun rumah disitu eh buang sampahnya di sungai,"['bangun', 'rumah', 'disitu', 'eh', 'buang', 'sampahnya', 'di', 'sungai']","['bangun', 'rumah', 'disitu', 'eh', 'buang', 'sampahnya', 'sungai']",bangun rumah situ eh buang sampah sungai
